Marke;Kurzcharakteristik 1;Kurzcharakteristik 2;Kurzcharakteristik 3 (optional);Preis;Design;Bekanntheit;Sortimentsbreite;Positionierung;;;;;;;;
for all mankind;Premium-Denim aus Kalifornien mit modischem Anspruch;Perfekte Passform und stilvolle Waschungen;Lässiger Luxus für urbane Looks;5;3;4;1;2;;;;;;;;
adidas Golf;Funktionale Golfmode mit sportlich-elegantem Stil;Technisch durchdacht für höchste Performance auf dem Green;;3;2;5;3;1;;;;;;;;
adidas ORIGINALS;Urbaner Lifestyle mit ikonischen Retro-Designs;Streetwear-Klassiker mit Kultfaktor;Mode zwischen Sport, Popkultur und Individualität;3;3;5;3;1;;;;;;;;
adidas Sportswear;Vielseitige Activewear für Alltag und Training;Sportlich-modern mit klarem Fokus auf Komfort;;3;2;5;4;1;;;;;;;;
Aigle;Französische Outdoor-Marke mit Fokus auf Wetterfestigkeit;Authentischer Look für Natur und Stadt;;3;2;3;3;1;;;;;;;;
AIGNER;Luxusmarke mit Münchner Wurzeln und ikonischem Hufeisen-Logo;Klassische Eleganz mit italienischer Raffinesse;Hochwertige Materialien und präzise Handwerkskunst;4;3;4;2;2;;;;;;;;
Alberto;Moderne Hosen mit perfektem Sitz und technischem Anspruch;Innovative Stoffe und smarte Details für Alltag & Business;;3;3;3;2;2;;;;;;;;
Alberto Golf;Hightech-Golfhosen mit Funktion und Stil;Stretchkomfort und atmungsaktive Materialien für beste Performance;;3;2;3;2;1;;;;;;;;
ALPHA INDUSTRIES;Authentische Military-Looks mit Kultstatus;Ursprünglich für das US-Militär entwickelt, heute urbaner Klassiker;Robuste Materialien, klare Linien, ikonisches Flight Jacket;2;2;4;2;1;;;;;;;;
American Vintage;Französische Basics mit Vintage-Ästhetik;Weiche Stoffe und entspannte Silhouetten für Casual-Looks;;3;3;3;2;1;;;;;;;;
Armor lux;Französischer Maritim-Klassiker mit Tradition;Zeitlose Streifendesigns und nachhaltige Produktion;Authentisch, unkompliziert und stilvoll zugleich;3;2;3;2;1;;;;;;;;
Anthoni Crown;Edle Herrengürtel aus deutscher Manufaktur;Hochwertige Verarbeitung trifft auf raffiniertes Design;;3;3;2;1;3;;;;;;;;
ARMANI EXCHANGE;Jung, urban und trendbewusst – Armani für die neue Generation;Streetstyle mit italienischer Eleganz;Modisch, expressiv und zugänglich zugleich;3;3;5;2;2;;;;;;;;
Ascot;Edle Accessoires mit britischer Eleganz;Krawatten, Schleifen und Einstecktücher in feinster Qualität;;3;2;2;1;3;;;;;;;;
ASHWORTH;Klassisch-amerikanischer Golfstil mit britischer Note;Elegante Sportswear für Golf und Freizeit;;3;2;2;2;1;;;;;;;;
ASICS;Japanischer Laufschuhspezialist mit Innovationskraft;Technisch führend in Dämpfung und Stabilität;Beliebt bei Profi- wie Hobbyläufern weltweit;2;2;5;3;1;;;;;;;;
BALDESSARINI;Luxuriöse Herrenmode mit Reife und Charakter;Stilvolle Looks für Männer, die wissen, was sie wollen;Deutsche Marke mit internationalem Anspruch;4;3;3;2;3;;;;;;;;
Baracuta;Britischer Kult mit dem legendären G9 Harrington Jacket;Smart Casual mit Ivy-League-Flair;Tradition trifft auf zeitlose Coolness;4;2;3;1;1;;;;;;;;
Barbour;Britischer Country-Stil mit wetterfester Funktion;Ikonische Wachsmäntel und kernige Hemden für Stadt und Natur;Tradition, Qualität und Outdoor-Kompetenz seit Generationen;4;2;4;3;1;;;;;;;;
BELSTAFF;Britischer Luxus mit Wurzeln im Motorsport;Robuste Leder- und Wachsjacken mit ikonischem Design;Abenteuerlich, authentisch, unverwüstlich;5;4;4;1;1;;;;;;;;
Ben Sherman;Britischer Mod-Klassiker mit grafischem Anspruch;Statement-Hemden und smart-casual Looks mit Retro-Flair;;3;2;3;3;1;;;;;;;;
BETTER RICH;Urbaner Komfort mit weichen Materialien;Dezente Farben, entspannte Passformen, casual-luxuriöser Stil;;3;4;2;1;1;;;;;;;;
BILLABONG;Surf- und Skatewear mit kalifornischem Spirit;Lässige Styles für Board, Beach und Alltag;Lebensgefühl von Sonne, Freiheit und Bewegung;2;2;4;3;1;;;;;;;;
BIRKENSTOCK;Deutsche Ikone für Komfort und ergonomische Fußbetten;Naturverbundene Materialien und nachhaltige Produktion;Funktion trifft auf Zeitgeist und Kultstatus;3;1;4;1;1;;;;;;;;
Blauer. USA;Amerikanischer Police- und Military-Look mit Mode-Attitüde;Authentisch, sportlich, urban;;4;3;2;1;1;;;;;;;;
BOB;Italienische Mode mit kreativer Handschrift;Farbenfrohe Details, ausgefallene Stoffe, exzentrisch und charmant;;3;2;1;1;1;;;;;;;;
BOGGI MILANO;Italienische Herrenmode mit Business-Fokus und modischem Gespür;Smart Tailoring mit mediterraner Leichtigkeit;Eleganz für Büro und Afterwork;3;3;3;2;2;;;;;;;;
BOGNER;Sportlich-luxuriöser Stil mit alpiner Herkunft;Edle Skimode und elegante Freizeitkleidung;Deutsche Premium-Ästhetik für stilbewusste Aktive;5;4;3;2;2;;;;;;;;
BOSS;Präzise Schnitte, moderne Männermode mit internationalem Anspruch;Business trifft auf Luxus und Understatement;Deutsche Marke mit weltweitem Renommee;4;3;5;4;2;;;;;;;;
BOSS Black;Zeitlose Businesswear mit Fokus auf Eleganz und Qualität;Ideal für formelle Anlässe und gehobene Garderobe;;4;3;5;4;3;;;;;;;;
BOSS Green;Sportlich-dynamische Linie mit Fokus auf Activewear und Golf;Funktionalität in stilvollem Design;;4;3;5;4;1;;;;;;;;
BOSS Orange;Urban Casualwear mit entspannter Attitüde;Kreativ, jung, modern – für stilvolle Freizeit-Looks;;4;3;5;4;1;;;;;;;;
Botthof;Traditionelles bayerisches Schuhhandwerk;Handgefertigte Qualität mit Fokus auf Langlebigkeit;;4;2;3;2;2;;;;;;;;
Brax;Deutsche Hosenkompetenz mit modischem Anspruch;Smart Casual für Alltag und Business;Bequeme Passformen und hochwertige Verarbeitung;3;3;4;3;2;;;;;;;;
Brax Golf;Funktionsmode für den stilvollen Auftritt auf dem Golfplatz;Atmungsaktiv, bewegungsfreundlich, elegant-sportlich;;3;2;3;1;1;;;;;;;;
bruno banani;Provokant, urban, unkonventionell – für Individualisten;Bekannte Unterwäschemarke mit augenzwinkerndem Image;Mode mit Mut zur Selbstinszenierung;3;4;4;2;1;;;;;;;;
bugatti;Deutsche Lifestylemarke mit europäischem Flair;Stilvolle Mode für Alltag, Reise und Business;Klassisch, tragbar, zuverlässig;3;3;4;3;3;;;;;;;;
Burlington;Britisch inspirierte Sockenmode mit kultigem Argyle-Muster;Farbstark, markant und mit Wiedererkennungswert;;3;1;3;2;1;;;;;;;;
CALIDA;Schweizer Wäschemarke mit Fokus auf Komfort und Nachhaltigkeit;Weiche Materialien und perfekte Schnitte für jeden Tag;Umweltbewusst und zeitlos zugleich;3;1;3;1;1;;;;;;;;
Calvin Klein;Amerikanische Ikone für minimalistische Coolness;Puristische Ästhetik mit urbanem Sexappeal;;3;3;5;4;2;;;;;;;;
Calvin Klein Swimwear;Klare Linien, moderne Schnitte – Swimwear mit Fashion-Statement;Bademode mit Fokus auf Design und Markenidentität;;3;3;5;1;1;;;;;;;;
Calvin Klein Underwear;Legendäre Unterwäsche mit ikonischem Bund und perfektem Sitz;Sexy, clean und komfortabel zugleich;Kultmarke für moderne Körperbewusstheit;3;3;5;1;1;;;;;;;;
camel active;Abenteuerlicher Freizeitstil mit Outdoor-Elementen;Robuste Materialien, funktionale Schnitte;Urban Outdoor für aktive Männer;2;2;3;2;1;;;;;;;;
Carl Gross;Deutsche Anzugkompetenz mit traditionellem Anspruch;Klassisch-elegante Businessmode in präzisem Schnitt;Stilsicher für formelle Anlässe;3;3;3;2;3;;;;;;;;
CasaModa;Tragbare Herrenmode mit klarem Fokus auf Komfort;Freizeithemden und Strick mit angenehmer Passform;;2;3;2;2;1;;;;;;;;
CERRUTI 1881;Italienische Schneiderkunst mit französischem Esprit;Stilvolle Anzüge mit modischem Feinsinn;Luxus mit Understatement;4;3;4;2;3;;;;;;;;
CG (by Carl Gross);Moderner Ableger von Carl Gross für einen jüngeren Look;Businessmode mit modischem Anspruch und urbanem Twist;;3;3;2;1;3;;;;;;;;
CINQUE;Italienisch inspirierte Mode mit urbaner Lässigkeit;Smart Casual für die City – modern, unkompliziert, stilvoll;;3;3;2;1;3;;;;;;;;
Cipriani;Feine Ledergürtel und Accessoires in italienischer Handwerksqualität;Elegantes Design für stilvolle Auftritte;;4;3;3;1;3;;;;;;;;
CODELLO;Tücher und Schals mit kreativen Mustern;Modeaccessoires mit künstlerischem Flair und modischen Prints;;2;3;2;2;1;;;;;;;;
Collonil;Premium-Pflegeprodukte für Schuhe und Lederwaren;Made in Germany – Schutz, Reinigung, Imprägnierung;;2;1;2;2;1;;;;;;;;
COLMAR;Italienische Sportswear mit Fokus auf Skimode und Urbanwear;Funktion trifft auf Fashion – clean, sportlich, modern;Kultige Steppjacken mit modischer Linie;4;3;3;3;1;;;;;;;;
Converse;Kultmarke mit legendärem Chuck Taylor Sneaker;Streetstyle trifft auf sportliche Historie;Symbol für Rebellion und Jugendkultur;3;2;5;3;1;;;;;;;;
Crocs;Ultraleichte Schuhe mit hohem Komfortfaktor;Kultstatus durch Design und Bequemlichkeit;Beliebt für Freizeit, Garten und Urlaub;2;2;5;2;1;;;;;;;;
CROSSLEY;Italienischer Casual Chic aus Florenz;Edle Materialien, entspannte Schnitte;Nachhaltigkeit und Qualität im Fokus;4;3;2;2;1;;;;;;;;
D'CADE DENIM;Hochwertige Jeansmode mit modernem Anspruch;Dezente Details, klare Schnitte;;3;3;2;1;1;;;;;;;;
DANIELE FIESOLI;Italienisches Knitwear-Design mit Finesse;Feinstrick, moderne Farben, luxuriöse Materialien;Handwerk trifft modischen Minimalismus;4;3;2;2;1;;;;;;;;
DANTE;Klassische Herrenmode mit italienischem Einfluss;Stilvoll, zurückhaltend und hochwertig;;3;2;1;1;1;;;;;;;;
DENHAM;Premium-Denim aus Amsterdam mit handwerklichem Anspruch;Authentisch, modern, mit Liebe zum Detail;„The truth is in the details“ – Denim-Philosophie;3;3;3;2;1;;;;;;;;
DEREK ROSE;Britische Marke für luxuriöse Loungewear und Nachtwäsche;Edle Stoffe und kompromissloser Komfort;Londoner Stil für private Momente;5;3;2;2;1;;;;;;;;
DESOTO;Bügelfreie Jersey-Hemden mit Bewegungsfreiheit;Nachhaltig produziert in Europa;Ideal für Business mit Komfortanspruch;3;3;2;2;2;;;;;;;;
DIGEL;Deutsche Businessmode mit perfektem Sitz;Mix aus Klassik und modischer Aktualität;Für den modernen Gentleman mit Anspruch;3;2;3;3;3;;;;;;;;
DOCKERS;Amerikanischer Chino-Klassiker mit Alltagscharakter;Smart Casual mit Workwear-Wurzeln;Stilvoll, tragbar, maskulin;2;2;4;2;1;;;;;;;;
Dr. Martens;Rebellische Boots mit Kultcharakter;Unverwechselbares Design mit gelber Naht;Steht für Subkultur, Haltung und Individualität;3;2;4;2;1;;;;;;;;
DRESSLER;Traditionelle Anzugmode aus deutscher Fertigung;Hochwertige Materialien, klassische Linien;Maßgeschneiderter Anspruch seit Generationen;4;2;2;1;3;;;;;;;;
dubarry;Irische Outdoor-Marke mit maritimem Erbe;Funktionale Boots und Jacken für Wasser & Land;Robuste Qualität mit elegantem Country-Flair;4;2;2;2;1;;;;;;;;
EA7;Sportliche Linie von Emporio Armani mit Fokus auf Performance;Edler Athleisure-Look für Training und Freizeit;Italienisches Design trifft Funktion;3;3;4;2;1;;;;;;;;
Eagle;Edle Schals und Mützen, made in Germany;Seit 1893: feinste Schals, Tücher und Mützen;Schals made in Germany - seit über einem Jahrhundert;4;2;2;1;2;;;;;;;;
EASTPAK;Funktionale Rucksäcke mit urbanem Design;Kultstatus seit Jahrzehnten, robust und langlebig;Beliebt bei Schülern, Studenten und City-Pendlern;2;2;4;2;1;;;;;;;;
EDSOR;Edle Accessoires aus Berliner Manufaktur;Krawatten und Einstecktücher mit handwerklicher Präzision;Klassisch, stilvoll, traditionsbewusst;4;2;2;1;3;;;;;;;;
EMPORIO ARMANI;Eleganter Mix aus High Fashion und sportlicher Dynamik;Jüngere, modische Linie von Giorgio Armani;Italienischer Stil mit urbaner Leichtigkeit;5;4;5;4;2;;;;;;;;
Ermenegildo Zegna;Luxuriöse Herrenmode aus feinster italienischer Webkunst;Maßkonfektion und feinste Stoffe für höchste Ansprüche;Synonym für Eleganz und Understatement;5;4;4;4;3;;;;;;;;
ETERNA;Bügelfreie Businesshemden mit perfektem Sitz;Nachhaltige Produktion mit OEKO-TEX® Standard;Tradition seit 1863 – modern interpretiert;3;2;4;2;2;;;;;;;;
ETON;Schwedische Premium-Hemden mit makelloser Qualität;Perfekte Schnitte und edle Stoffe – Business auf höchstem Niveau;Innovativ, stilvoll, kompromisslos in Qualität;4;3;3;2;3;;;;;;;;
Eurex by Brax;Komfort-Hosen mit perfekter Passform und Dehnbund;Fokus auf Bequemlichkeit bei klassischem Look;Ideal für Männer, die Wert auf Funktion & Stil legen;3;2;2;1;2;;;;;;;;
fakts;Schlichte Basics mit smartem Design;Nachhaltige Materialien, funktional & unaufgeregt;;4;?;?;?;?;;;;;;;;
Falke;Deutsche Traditionsmarke für Strümpfe & Sportbekleidung;Hohe Qualität, perfekte Passform, sportlicher Komfort;Für Performance wie für Alltag;4;2;4;3;1;;;;;;;;
FIL NOIR;Italienisches Hemdenlabel mit Vintage-Flair;Weiche Stoffe, entspannte Schnitte, raffinierte Details;Authentisch, bewusst, traditionsreich;4;2;2;1;2;;;;;;;;
FIRE + ICE;Sportliche Linie von BOGNER mit Fokus auf Skimode und Urbanwear;Funktion und Fashion für Berge und Stadt;Aktiver Look mit modischem Anspruch;4;3;3;2;1;;;;;;;;
Floris van Bommel;Niederländische Herrenschuhe mit Charakter;Klassisches Handwerk trifft auf moderne Designideen;Exzentrisch, hochwertig, traditionsreich;4;3;3;1;2;;;;;;;;
Fred Perry;Britischer Street-Style mit sportlicher Geschichte;Ikonische Polohemden mit Lorbeerkranz-Logo;Mod-Kultur, Subkultur, Stilbewusstsein;4;3;4;3;1;;;;;;;;
Fynch-Hatton;Casualwear mit Abenteuergeist und Qualität;Inspiriert von Afrika – maskulin, bodenständig, authentisch;Ideal für Freizeit und moderne Outdoor-Looks;3;2;3;3;2;;;;;;;;
GALLO;Italienische Sockenmode mit Farbkraft und Raffinesse;Kreativ, luxuriös, mit unverwechselbaren Mustern;Modeaccessoire mit Statement-Charakter;4;3;2;2;1;;;;;;;;
Gant;Amerikanischer Preppy-Stil mit europäischen Einflüssen;Smart Casual für stilbewusste Alltagslooks;Klassische Hemden, Knitwear und Polos mit Ivy-League-Flair;3;3;4;3;2;;;;;;;;
GARDEUR;Perfekte Hosenpassform mit deutscher Präzision;Business- und Freizeit-Looks in hochwertiger Verarbeitung;Zeitlos, tragbar, komfortorientiert;3;2;3;1;2;;;;;;;;
GARMENT PROJECT;Skandinavische Sneaker mit cleanem Design;Minimalistisch, urban, vielseitig kombinierbar;Design trifft Alltagstauglichkeit;3;3;2;1;1;;;;;;;;
GAS;Italienische Jeansmode mit jugendlicher Attitüde;Schlanke Silhouetten und modischer Streetwear-Charme;;3;3;3;2;1;;;;;;;;
GEOX;Atmungsaktive Schuhe mit patentierter Technologie;Funktionalität trifft auf italienischen Stil;„Schuhe, die atmen“ – für Alltag, Business und Freizeit;3;2;4;3;1;;;;;;;;
GIESSWEIN;Nachhaltige Merino-Sneaker und Hausschuhe aus Österreich;Funktional, warm, leicht – perfekt für Indoor und Urbanwear;Tradition trifft Innovation in Wollverarbeitung;3;2;3;2;1;;;;;;;;
GIVENCHY;Französischer Luxus mit avantgardistischer Ästhetik;Ausdrucksstarke Mode für Trendsetter mit Anspruch;Haute Couture trifft Streetstyle;5;5;5;4;2;;;;;;;;
Göttmann;Hochwertige Herrenhüte & Caps mit Tradition aus Deutschland;Klassisch, modern oder sportlich – Kopfbedeckungen mit Stil;;3;2;2;1;1;;;;;;;;
Gran Sasso;Italienisches Strickhandwerk in Perfektion;Edle Materialien und feine Verarbeitung;Zeitlos elegant – von Polos bis Rollkragen;4;3;3;2;2;;;;;;;;
HACKETT;Britischer Gentleman-Stil mit sportlicher Note;Traditionelle Eleganz neu interpretiert;Londoner Heritage trifft auf moderne Maskulinität;4;3;4;3;2;;;;;;;;
Hamlet;Klassische Unterwäsche mit italienischem Ursprung;Bequem, hochwertig, schlicht;;3;2;2;1;1;;;;;;;;
handstich;Premiumjacken mit sportlich-edler Handschrift;Detailverliebt, technisch, stilvoll;Für moderne Entdecker und urbane Outdoor-Typen;4;2;2;2;2;;;;;;;;
HANRO;Schweizer Wäscheluxus mit puristischer Ästhetik;Weiche Stoffe, perfekte Passform, zeitlose Eleganz;Loungewear auf höchstem Niveau;4;2;3;2;1;;;;;;;;
Harris Wharf London;Zeitgemäße Mäntel mit britischem Minimalismus;Gefilzter Wollstoff, ungefüttert, modern interpretiert;Made in Italy – moderner Tailoring-Look;4;3;2;2;2;;;;;;;;
havaianas;Kultige Zehentrenner aus Brasilien mit Gute-Laune-Garantie;Farbenfroh, bequem und perfekt für Sommer & Strand;Lifestyle-Symbol mit Tropen-Feeling;2;2;5;2;1;;;;;;;;
HECHTER PARIS;Französische Herrenmode mit urbanem Chic;Sportlich-elegant, tragbar, dezent modern;Für Männer mit Sinn für französische Klassik;3;3;4;3;2;;;;;;;;
Henry Cotton's;Britischer Country-Style mit italienischer Leichtigkeit;Traditionelle Looks mit Casual-Flair;;3;2;2;2;2;;;;;;;;
herrenausstatter.de;Kuratierte Auswahl hochwertiger Herrenmode seit 1997;Persönlicher Service, 250+ Marken, Payback-Punkte;Spezialist für stilbewusste Männermode im Premiumsegment;?;?;?;?;?;;;;;;;;
HILTL;Perfekte Herrenhosen aus deutscher Schneidertradition;Exakte Passform, beste Materialien, langlebiger Tragekomfort;Hochwertige Verarbeitung seit Generationen;4;2;2;1;2;;;;;;;;
HOM;Französische Unterwäsche mit stilvoller Funktion;Komfort, Passform, Eleganz – für Tag und Nacht;;3;3;3;2;1;;;;;;;;
HTL;Klassische Maßanzüge mit moderner Linie;Solide Businessmode mit gutem Preis-Leistungs-Verhältnis;;3;1;2;1;2;;;;;;;;
Hudson;Qualitätssocken mit Stil und Komfort;Klassisch, funktional und alltagstauglich;;3;3;2;2;1;;;;;;;;
HUGO;Trendige Linie von BOSS – jung, kreativ, modern;Mode mit Fokus auf Individualität und urbanen Stil;Modisch-progressive Schnitte und starke Farbkonzepte;4;3;5;3;2;;;;;;;;
